ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y,Risk_Score,Risk_Category
ABST,75.53,83.84,72.8,77.39,Information Technology,407796272.7,1.01679027,22.61,Medium
ASTC,0.81,13.88,57.07,23.92,Industrials,26549216.92,0.71778443,76.08,High
AQB,1.62,5.17,41.03,15.94,Health Care,96709193.36,1.569919744,84.06,High
AGEN,33.38,30.98,45.09,36.48,Health Care,524330803.4,1.412260025,63.52,High
BFST,33.33,30.98,99.65,54.65,Financials,501385567.5,0.678790044,45.35,Medium
ACHC,44.73,66.44,81.81,64.33,Health Care,6056981821,1.088578646,35.67,Medium
ADP,79.69,87.72,98.28,88.56,Information Technology,91620305377,0.848651045,11.44,Low
ATLO,23.51,16.13,22.64,20.76,Financials,210029057.7,0.204048064,79.24,High
AAPL,44.38,95.57,37.39,59.11,Information Technology,2.56E+12,1.250242286,40.89,Medium
ATRO,34.75,72.04,93.77,66.85,Industrials,307287431.6,0.941427235,33.15,Medium
AMRN,35.06,41.13,9.93,28.71,Health Care,1083094224,0.751121889,71.29,High
BANR,39.26,54.03,99.95,64.41,Financials,1852108161,0.927691294,35.59,Medium
ARLP,45.74,15.02,52.18,37.65,Utilities,2255171233,0.467098392,62.35,High
BKSC,15.55,30.98,88.45,44.99,Financials,99964072.76,0.14063613,55.01,High
AMEH,40.43,54.03,40.07,44.84,Health Care,2159551171,2.178787903,55.16,High
ARWR,26.85,22.87,9.57,19.77,Health Care,4540040774,1.680683012,80.23,High
ALTR,70.16,87.72,16.36,58.08,Information Technology,4428616672,1.35518454,41.92,Medium
ACTG,25.84,30.98,49.19,35.33,Industrials,223543225.2,1.346076905,64.67,High
ALLO,17.27,54.03,44.98,38.76,Health Care,1307921807,1.686643406,61.24,High
AIRG,17.83,30.98,23.51,24.11,Information Technology,86812290.72,0.832419021,75.89,High
AEP,99.75,73.2,78.06,83.67,Utilities,50394089991,0.277552278,16.33,Low
APPN,66.41,30.98,11.04,36.14,Information Technology,3681641945,1.933382002,63.86,High
BBSI,40.83,44.55,75.08,53.49,Industrials,530843733,0.646452279,46.51,Medium
ALEC,47.16,54.03,12.66,37.95,Health Care,839935373.8,1.600437286,62.05,High
BLMN,85.56,43.95,36.22,55.24,Consumer,2068743234,1.436649837,44.76,Medium
AXTI,60.89,42.43,15.75,39.69,Information Technology,254274963.8,1.738716841,60.31,High
ADPT,30.24,54.03,35.03,39.77,Health Care,1231648400,1.98120304,60.23,High
AVTX,4.41,30.98,14.89,16.76,Health Care,47384844.68,1.080992015,83.24,High
BIMI,69.55,66.44,12.61,49.54,Health Care,10048486.08,1.723031866,50.46,High
AVEO,17.68,30.98,30.04,26.23,Health Care,178923744.9,1.272670571,73.77,High
BCPC,85.92,81.16,80.04,82.37,Utilities,3922850870,0.725841204,17.63,Low
ATNI,76.55,73,79.64,76.39,Communication Services,619478393,0.353885691,23.61,Medium
ASTE,87.99,80.4,83.38,83.92,Industrials,909564341.6,1.225778417,16.08,Low
ACHV,48.73,19.58,21.68,30,Health Care,65093778.99,0.796140482,70,High
ABTX,50.61,54.03,87.69,64.11,Financials,848745949.1,0.66067016,35.89,Medium
AQMS,56.99,54.03,4.76,38.59,Industrials,71974411.2,1.758995498,61.41,High
AOSL,81.81,83.84,53.55,73.07,Information Technology,1197828236,2.611828739,26.93,Medium
ANAT,53.7,45.29,60.89,53.29,Financials,5088133728,0.113843424,46.71,Medium
AATC,58.76,54.03,1.01,37.93,Information Technology,34693627.65,0.890591451,62.07,High
AMGN,91.34,94.43,82.62,89.46,Health Care,1.23E+11,0.419798975,10.54,Low
BATRA,42.93,43.29,50.13,45.45,Communication Services,1327064332,0.713516738,54.55,High
ATRS,28.01,30.98,28.27,29.09,Health Care,953610062.6,0.985245507,70.91,High
BCAB,0.25,5.17,35.03,13.48,Health Care,137570702.2,1.602318975,86.52,High
APPS,66.01,23.35,17.83,35.73,Information Technology,3180325982,2.522121605,64.27,High
ADAP,4.81,30.98,34.09,23.29,Health Care,293338142.8,1.491929824,76.71,High
ALVR,11.04,5.17,35.03,17.08,Health Care,297396585.8,1.879715469,82.92,High
ALGM,63.17,8.59,45.67,39.14,Information Technology,4770634756,1.741299265,60.86,High
ARNA,88.1,77.91,9.73,58.58,Health Care,11613679733,0.259111951,41.42,Medium
AIRT,59.98,13.88,57.07,43.64,Industrials,50289138.44,0.839098396,56.36,High
BL,86.83,42.43,68.09,65.78,Information Technology,3979717097,1.37930253,34.22,Medium
BGCP,51.42,77.53,32.93,53.96,Financials,1794231372,1.131827816,46.04,Medium
AGFS,51.93,91.01,66.92,69.95,Utilities,96972171.5,0.458089598,30.05,Medium
BLNK,58.41,13.88,46.35,39.55,Industrials,827494399.6,1.571338127,60.45,High
AERI,55.88,54.03,33.43,47.78,Health Care,364771912.5,1.234808482,52.22,High
AY,55.93,15.02,10.33,27.09,Utilities,3384788284,0.703862501,72.91,High
AMRS,78.98,93.03,25.58,65.86,Utilities,1154131213,2.542230532,34.14,Medium
ALNY,73.51,75.58,27.1,58.73,Health Care,16799125379,0.507468888,41.27,Medium
ACIW,80.9,87.72,70.26,79.63,Information Technology,3177527143,1.150600268,20.37,Medium
ASMB,4.91,41.13,54.66,33.57,Health Care,86135582.23,0.727988741,66.43,High
AVGO,99.19,99.42,24.82,74.48,Information Technology,2.35E+11,1.349750098,25.52,Medium
BIOL,70.47,75.58,9.68,51.91,Health Care,29202206.44,1.237668484,48.09,Medium
AVXL,12.74,41.13,13.63,22.5,Health Care,696097402,1.926206039,77.5,High
ACAD,36.32,22.87,42.45,33.88,Health Care,3154312206,1.069560143,66.12,High
ADSK,95.39,93.03,51.57,80,Information Technology,41918708185,1.667803015,20,Low
ATNX,24.97,75.58,38.3,46.29,Health Care,56183110.46,1.524593524,53.71,High
ARAV,5.02,30.98,32.47,22.82,Health Care,43525792.28,0.936433554,77.18,High
AMKR,96.76,68.54,62.51,75.94,Information Technology,4775540877,1.954846394,24.06,Medium
BCRX,27.76,54.03,69.71,50.5,Health Care,1781544960,1.299631355,49.5,Medium
ASUR,62.16,8.59,50.96,40.57,Information Technology,122432654.7,0.535792609,59.43,High
AAWW,83.79,80.04,55.22,73.02,Industrials,1959358662,0.936185235,26.98,Medium
AMAL,74.57,98.63,40.02,71.07,Financials,571552797.2,0.504448218,28.93,Medium
APA,97.82,99.75,86.12,94.56,Utilities,14088713308,1.365831621,5.44,Low
ANDE,31.36,12.01,82.27,41.88,Consumer,1747650568,0.817821202,58.12,High
ADBE,87.69,8.59,97.26,64.51,Information Technology,1.92E+11,1.541403524,35.49,Medium
BATRK,42.93,43.29,50.13,45.45,Communication Services,1327064332,0.750021169,54.55,High
ALGN,90.27,86.47,88.4,88.38,Health Care,24341360060,1.606074992,11.62,Low
AKAM,87.59,93.03,70.36,83.66,Information Technology,18070518060,0.760773124,16.34,Low
ALOT,24.11,30.98,69.6,41.57,Information Technology,97322257.9,0.175600289,58.43,High
AEY,20.11,8.59,50.96,26.55,Information Technology,14853204.78,1.082908463,73.45,High
ATSG,79.08,44.55,80.24,67.96,Industrials,2353516575,0.804326892,32.04,Medium
BMRC,49.9,54.03,95.39,66.44,Financials,513243373.3,0.537608203,33.56,Medium
BYND,82.93,30.98,62.31,58.74,Consumer,2434923216,1.628428603,41.26,Medium
BLUE,3.75,75.58,34.14,37.83,Health Care,282215247.1,1.577076478,62.17,High
AWH,5.88,5.17,38.65,16.57,Health Care,78546344.8,1.748799907,83.43,High
CCCC,6.33,5.17,35.03,15.51,Health Care,455621947,2.075760525,84.49,High
BUSE,37.69,17.15,92,48.94,Financials,1251078363,0.870186356,51.06,High
BLBD,66.11,54.03,45.19,55.11,Industrials,516400675.1,1.355670012,44.89,Medium
BRY,93.52,83.84,34.19,70.52,Utilities,885932153.8,1.109702645,29.48,Medium
AROW,30.5,38.93,97.16,55.53,Financials,498164430,0.568850511,44.47,Medium
ASML,97.06,94.88,72.09,88.01,Information Technology,2.32E+11,1.854628677,11.99,Low
AMSC,61.25,54.03,48.18,54.48,Industrials,159363394.4,1.502128371,45.52,Medium
CALA,6.89,30.98,83.13,40.33,Health Care,24620199.26,1.660526832,59.67,High
ADTN,90.53,87.72,83.59,87.28,Information Technology,872872614.9,1.112846165,12.72,Low
BPMC,29.03,54.03,78.88,53.98,Health Care,3557553067,1.351762843,46.02,Medium
ARAY,54.86,19.58,82.37,52.27,Health Care,247781908.7,1.319045811,47.73,Medium
BDSI,7.7,19.58,1.27,9.52,Health Care,577048969.6,0.028942449,90.48,High
CBFV,21.28,30.98,91.39,47.88,Financials,114586251.3,0.302466663,52.12,High
AGIO,47.87,75.58,32.12,51.86,Health Care,1291922899,1.103187023,48.14,Medium
CCXI,16.31,75.58,27.15,39.68,Health Care,1335337255,1.487624804,60.32,High
ASYS,60.18,69.4,25.99,51.86,Information Technology,129638974.1,1.30087607,48.14,Medium
CASI,15.81,30.98,16.57,21.12,Health Care,56615604.17,1.129543733,78.88,High
CCEL,15.25,30.98,1.42,15.88,Health Care,53723413,0.310160204,84.12,High
CDW,95.95,93.03,75.38,88.12,Information Technology,22149546857,1.187396355,11.88,Low
ABCB,74.06,63.8,91.79,76.55,Financials,2985186221,1.064188168,23.45,Medium
ANGI,40.63,23.73,29.38,31.25,Communication Services,2325500201,1.605876225,68.75,High
BVS,73.25,0.46,39.92,37.88,Health Care,845754052,0.918170209,62.12,High
CENT,41.82,54.03,42.58,46.14,Consumer,2308787879,0.757193474,53.86,High
CLBK,35.51,54.03,83.64,57.73,Financials,2175170802,0.446057838,42.27,Medium
CEVA,60.94,30.98,34.55,42.16,Information Technology,857165881.6,1.785053682,57.84,High
APDN,2.53,41.13,82.83,42.16,Health Care,11528624.8,0.872298885,57.84,High
ARRY,66.31,13.88,53.14,44.44,Industrials,1082750985,2.34920406,55.56,High
CGNX,86.78,8.59,30.85,42.07,Information Technology,11654238623,1.272300748,57.93,High
CLSN,1.11,54.03,48.23,34.46,Health Care,21793285.3,1.09516026,65.54,High
CMLS,44.28,69.25,40.17,51.23,Communication Services,282363059.7,0.57730449,48.77,Medium
CCEP,75.38,100,59.02,78.13,Consumer,22674881090,1.242784438,21.87,Medium
ATVI,84.65,96.66,42.25,74.52,Communication Services,61031118343,0.206752332,25.48,Medium
CIDM,45.95,43.29,1.06,30.1,Communication Services,126624247.5,1.741592351,69.9,High
BMRN,81.1,94.43,49.09,74.87,Health Care,15411962442,0.821079881,25.13,Medium
CNSL,66.92,93.03,43.31,67.76,Communication Services,669179662.9,0.857566835,32.24,Medium
CBIO,5.57,5.17,41.03,17.26,Health Care,14860316.72,0.549925058,82.74,High
BYSI,0.61,30.98,28.06,19.88,Health Care,65789878.18,1.887673277,80.12,High
ASND,83.54,77.91,4.71,55.39,Health Care,5184175946,0.869137992,44.61,Medium
CALM,39.77,19.58,9.47,22.94,Consumer,2635434240,0.15070083,77.06,High
CORT,33.74,30.98,44.07,36.26,Health Care,2342806238,0.753648707,63.74,High
CHMG,26.04,63.8,97.06,62.3,Financials,220847728.5,0.118655004,37.7,Medium
BLCM,4.86,54.03,16.41,25.1,Health Care,12742298.28,0.845962681,74.9,High
BSET,51.67,79.58,73,68.09,Consumer,164605241.3,1.169535889,31.91,Medium
AMSF,65.91,54.03,81.31,67.08,Financials,909412263.5,0.67863459,32.92,Medium
CDXC,21.12,30.98,31.31,27.8,Health Care,135985826.1,1.561767124,72.2,High
BPOP,74.37,54.03,97.47,75.29,Financials,6096820458,1.09504713,24.71,Medium
CDEV,93.47,75.58,14.69,61.25,Utilities,2241704948,1.276113291,38.75,Medium
CLBS,13.27,30.98,44.22,29.49,Health Care,31598259.41,0.648054693,70.51,High
CASS,46.4,8.59,31.56,28.85,Information Technology,507879320.5,0.542008168,71.15,High
AGLE,14.64,30.98,25.38,23.67,Health Care,75118206.96,0.633396837,76.33,High
CMPR,56.23,97.8,47.42,67.15,Industrials,1365856136,1.107842456,32.85,Medium
BVXV,9.78,5.17,41.03,18.66,Health Care,15895087.6,1.518740709,81.34,High
CFFI,51.57,2.08,94.63,49.43,Financials,181946491.4,0.208700934,50.57,High
CLVS,49.85,54.03,89.87,64.58,Health Care,292074654.2,1.729650241,35.42,Medium
COKE,37.49,81.03,36.02,51.51,Consumer,4206817886,0.785356355,48.49,Medium
CSCO,99.04,95.57,74.21,89.61,Information Technology,2.07E+11,0.84476237,10.39,Low
CIGI,68.95,2.08,46.5,39.18,Financials,4644917626,0.987484882,60.82,High
CENTA,41.82,54.03,42.58,46.14,Consumer,2308787879,0.754781031,53.86,High
CRSP,38.15,30.98,4.26,24.46,Health Care,4023442455,1.454972663,75.54,High
CPSH,46.91,19.58,3.65,23.38,Information Technology,52113346.24,1.736963224,76.62,High
CBNK,32.22,30.98,58.36,40.52,Financials,312782340,0.67044776,59.48,High
CSTR,29.64,54.03,82.17,55.28,Financials,452091518.8,0.602627304,44.72,Medium
CRESY,48.28,2.08,10.84,20.4,Financials,432226497.4,1.032107013,79.6,High
CCLP,20.31,15.02,14.39,16.57,Utilities,192050963.8,0.334853455,83.43,High
CGRN,92,30.98,33.33,52.1,Industrials,44270593.8,1.580107705,47.9,Medium
CNTY,33.99,71.48,8,37.83,Consumer,321395426.7,1.321543742,62.17,High
CHNG,43.21,5.17,35.03,27.8,Health Care,7340395882,0.266220313,72.2,High
COST,43.52,12.01,57.24,37.59,Consumer,2.34E+11,0.78445795,62.41,High
BLDE,5.07,13.88,17.78,12.24,Industrials,604313275.1,1.143303313,87.76,High
BZUN,88.3,43.95,6.38,46.21,Consumer,546255117.2,1.617066947,53.79,High
CTIC,11.04,16.13,25.13,17.43,Health Care,539452038.5,0.807536454,82.57,High
CAMP,63.63,54.03,47.72,55.12,Information Technology,207336076,0.874751155,44.88,Medium
BNFT,79.84,30.98,6.48,39.1,Information Technology,362651040.2,0.884219827,60.9,High
CDXS,57.7,54.03,24.72,45.48,Health Care,828708521.4,1.99283118,54.52,High
BPRN,23.91,38.93,54.61,39.15,Financials,189452160,0.242383199,60.85,High
CLDX,4.36,22.87,78.32,35.18,Health Care,1452190049,1.62950327,64.82,High
AMSWA,63.37,54.03,44.43,53.94,Information Technology,570480050,1.189144163,46.06,Medium
CDK,82.32,93.03,51.27,75.54,Information Technology,6344968235,0.567395823,24.46,Medium
CSCW,4.61,8.59,50.96,21.39,Information Technology,27142191.99,2.011648775,78.61,High
CNXC,69.05,8.59,45.67,41.1,Information Technology,8153702180,1.070536674,58.9,High
